,all_businesses,food,nightlife,shopping,fitness,selfcare,auto,home,health,geoid,population_total,population_total_male,population_total_female,population_total_under_18,population_total_18_to_65,population_total_65_and_over,population_male_under_18,population_female_under_18,population_male_18_to_64,population_female_18_to_64,population_male_65_and_over,population_female_65_and_over,population_total_white,population_total_non_white,median_income,area_mi2,population_density,food_predicted,food_error,auto_predicted,auto_error,nightlife_predicted,nightlife_error,shopping_predicted,shopping_error,fitness_predicted,fitness_error,selfcare_predicted,selfcare_error,home_predicted,home_error,health_predicted,health_error,geographic_area_name
1724,19,9,2,5,0,0,2,1,2,39035102101,3049,1525,1524,586,2134,329,283,303,1089,1045,153,176,2017,1241,23944,0.263843296,11556.101840000001,8.006,-0.9940000000000001,1.272,-0.728,2.484,0.484,1.567,-3.4330000000000003,0.305,0.305,2.4930000000000003,2.4930000000000003,2.469,1.469,-0.41,-2.41,"Census Tract 1021.01, Cuyahoga County, Ohio"
1725,6,3,2,1,0,0,0,1,0,39035102102,2840,1400,1440,717,1824,299,287,430,915,909,198,101,1450,1702,16065,0.317775204,8937.135323,4.9,1.9,1.551,1.551,1.207,-0.7929999999999999,-0.586,-1.5859999999999999,-0.569,-0.569,-0.069,-0.069,0.45299999999999996,-0.547,-0.235,-0.235,"Census Tract 1021.02, Cuyahoga County, Ohio"
1726,8,3,1,1,2,0,0,1,0,39035102200,2949,1339,1610,825,1753,371,314,511,916,837,109,262,1465,1639,20996,0.34333709700000004,8589.226223,4.899,1.899,2.4130000000000003,2.4130000000000003,1.959,0.9590000000000001,0.695,-0.305,-0.293,-2.293,0.654,0.654,0.917,-0.083,1.126,1.126,"Census Tract 1022, Cuyahoga County, Ohio"
1727,5,3,1,1,0,1,0,1,0,39035102300,2516,1237,1279,955,1421,140,518,437,655,766,64,76,1496,1263,22186,0.17554829600000002,14332.23822,2.506,-0.494,1.3090000000000002,1.3090000000000002,1.275,0.275,1.415,0.415,-1.166,-1.166,0.818,-0.182,0.304,-0.696,1.209,1.209,"Census Tract 1023, Cuyahoga County, Ohio"
1728,4,2,0,1,0,0,0,2,0,39035102401,1978,1077,901,527,1164,287,303,224,629,535,145,142,1406,726,16875,0.200039142,9888.064795,2.5639999999999996,0.564,2.476,2.476,0.40299999999999997,0.40299999999999997,-0.41600000000000004,-1.416,-0.858,-0.858,-0.063,-0.063,0.18899999999999997,-1.811,-0.196,-0.196,"Census Tract 1024.01, Cuyahoga County, Ohio"
1729,12,4,1,0,0,2,5,3,1,39035102700,4064,1946,2118,973,2750,341,485,488,1355,1395,106,235,2823,1347,14043,0.768371481,5289.108329,6.995,2.995,3.111,-1.889,-2.681,-3.681,2.9530000000000003,2.9530000000000003,0.62,0.62,0.47600000000000003,-1.524,2.617,-0.38299999999999995,0.878,-0.122,"Census Tract 1027, Cuyahoga County, Ohio"
1730,3,1,0,1,0,0,1,1,0,39035102800,2008,978,1030,640,1210,158,346,294,589,621,43,115,933,1136,10879,0.17427840600000002,11521.7946,3.415,2.415,2.3040000000000003,1.304,-0.978,-0.978,0.452,-0.5479999999999999,-0.988,-0.988,-0.273,-0.273,-0.064,-1.064,-0.24100000000000002,-0.24100000000000002,"Census Tract 1028, Cuyahoga County, Ohio"
1731,9,8,3,2,0,2,0,0,0,39035102900,1928,999,929,454,1265,209,239,215,682,583,78,131,1269,728,18956,0.19872716699999998,9701.743491,6.891,-1.109,1.159,1.159,3.984,0.9840000000000001,1.646,-0.354,-0.5670000000000001,-0.5670000000000001,0.92,-1.08,-0.45299999999999996,-0.45299999999999996,0.065,0.065,"Census Tract 1029, Cuyahoga County, Ohio"
1732,24,17,10,3,2,0,2,0,0,39035103100,1028,555,473,285,678,65,167,118,377,301,11,54,597,542,30551,0.25832512399999996,3979.481297,12.155,-4.845,0.643,-1.357,10.633,0.633,6.598,3.5980000000000003,1.264,-0.736,3.116,3.116,1.6280000000000001,1.6280000000000001,-1.052,-1.052,"Census Tract 1031, Cuyahoga County, Ohio"
1733,26,10,16,0,3,6,0,2,1,39035103300,2467,1174,1293,898,1461,108,479,419,621,840,74,34,572,2098,14291,0.19292675399999998,12787.23632,19.367,9.367,1.9880000000000002,1.9880000000000002,6.502999999999999,-9.497,8.524,8.524,0.843,-2.157,1.679,-4.321000000000001,-0.048,-2.048,3.4939999999999998,2.494,"Census Tract 1033, Cuyahoga County, Ohio"
1734,6,4,0,2,0,0,0,2,0,39035103400,2605,1329,1276,476,1896,233,285,191,952,944,92,141,1766,926,20054,0.255376848,10200.61145,6.529,2.529,2.421,2.421,-0.624,-0.624,0.027999999999999997,-1.972,-0.44,-0.44,0.527,0.527,0.08900000000000001,-1.911,-0.092,-0.092,"Census Tract 1034, Cuyahoga County, Ohio"
1735,18,6,2,2,2,2,4,2,0,39035103500,1675,805,870,288,1203,184,118,170,613,590,74,110,1349,378,30353,0.319624247,5240.528573,6.7139999999999995,0.7140000000000001,2.2680000000000002,-1.732,2.7489999999999997,0.7490000000000001,3.58,1.58,1.285,-0.715,1.742,-0.258,4.114,2.114,2.04,2.04,"Census Tract 1035, Cuyahoga County, Ohio"
1736,196,126,60,42,14,13,9,9,5,39035103602,3290,1941,1349,284,2670,336,148,136,1649,1021,144,192,2471,911,36367,0.891311814,3691.1885939999997,78.075,-47.925,9.142000000000001,0.142,81.53,21.53,51.203,9.203,11.284,-2.716,23.586,10.585999999999999,13.068,4.0680000000000005,3.162,-1.838,"Census Tract 1036.02, Cuyahoga County, Ohio"
1737,16,11,6,1,0,2,1,0,0,39035103800,1606,762,844,280,1079,247,108,172,512,567,142,105,1128,723,20866,0.338279545,4747.552794,8.415,-2.585,0.502,-0.498,6.172000000000001,0.172,3.1210000000000004,2.121,0.6559999999999999,0.6559999999999999,1.344,-0.6559999999999999,-0.036000000000000004,-0.036000000000000004,0.784,0.784,"Census Tract 1038, Cuyahoga County, Ohio"
1738,42,19,6,9,2,7,4,4,2,39035103900,2372,1104,1268,696,1479,197,287,409,742,737,75,122,1370,1363,16875,0.383531876,6184.622832,11.030999999999999,-7.968999999999999,4.92,0.92,11.92,5.92,8.927999999999999,-0.07200000000000001,2.535,0.535,3.252,-3.748,3.995,-0.005,5.631,3.6310000000000002,"Census Tract 1039, Cuyahoga County, Ohio"
1739,18,7,8,2,1,1,4,1,0,39035104100,979,607,372,116,730,133,68,48,461,269,78,55,562,500,15896,0.264421291,3702.4250049999996,11.052999999999999,4.053,2.173,-1.827,3.878,-4.122,3.576,1.5759999999999998,1.255,0.255,1.1320000000000001,0.132,2.01,1.01,-1.4280000000000002,-1.4280000000000002,"Census Tract 1041, Cuyahoga County, Ohio"
1740,26,10,9,2,2,6,2,1,3,39035104200,1284,640,644,259,950,75,96,163,504,446,40,35,684,635,37448,0.57507986,2232.733381,13.343,3.343,0.708,-1.2919999999999998,5.669,-3.3310000000000004,6.079,4.079,2.322,0.322,3.248,-2.752,1.9140000000000001,0.914,3.878,0.878,"Census Tract 1042, Cuyahoga County, Ohio"
1741,59,39,25,11,2,3,0,4,1,39035104300,2100,1165,935,224,1776,100,86,138,1040,736,39,61,1716,426,49677,0.18469969,11369.80796,33.035,-5.965,-0.386,-0.386,21.459,-3.5410000000000004,13.095999999999998,2.096,3.136,1.136,9.023,6.023,0.36,-3.64,-1.9340000000000002,-2.9339999999999997,"Census Tract 1043, Cuyahoga County, Ohio"
1742,36,14,6,12,3,6,3,1,0,39035104400,1192,653,539,189,903,100,100,89,495,408,58,42,1017,178,31574,0.43569312,2735.870607,12.552,-1.4480000000000002,3.3739999999999997,0.374,10.502,4.502,7.029,-4.971,2.798,-0.20199999999999999,3.248,-2.752,4.171,3.1710000000000003,3.134,3.134,"Census Tract 1044, Cuyahoga County, Ohio"
1743,10,6,2,2,1,2,0,0,0,39035104600,1020,555,465,234,684,102,111,123,393,291,51,51,568,514,13717,0.147226931,6928.0803129999995,4.974,-1.026,2.265,2.265,4.463,2.463,1.5719999999999998,-0.428,-0.083,-1.083,0.121,-1.879,-0.008,-0.008,0.835,0.835,"Census Tract 1046, Cuyahoga County, Ohio"
1744,38,14,4,16,2,4,2,4,1,39035104800,1732,907,825,427,1162,143,247,180,599,563,61,82,1220,658,20815,1.256755576,1378.151832,11.628,-2.372,5.85,3.85,9.147,5.147,6.379,-9.621,2.861,0.861,3.611,-0.389,2.653,-1.347,1.814,0.8140000000000001,"Census Tract 1048, Cuyahoga County, Ohio"
1745,6,3,2,1,2,1,0,0,1,39035104900,2322,1150,1172,598,1532,192,343,255,745,787,62,130,1429,1156,16580,0.241933543,9597.676993000001,6.395,3.395,2.122,2.122,1.671,-0.32899999999999996,1.041,0.040999999999999995,-0.6729999999999999,-2.673,1.024,0.024,1.165,1.165,1.7630000000000001,0.763,"Census Tract 1049, Cuyahoga County, Ohio"
1746,7,2,1,1,0,1,2,1,1,39035105100,4493,2156,2337,1378,2688,427,714,664,1229,1459,213,214,3457,1481,18331,0.92080693,4879.415928,4.1160000000000005,2.116,2.023,0.023,-1.232,-2.2319999999999998,1.633,0.633,0.124,0.124,-0.04,-1.04,1.204,0.204,0.9740000000000001,-0.026000000000000002,"Census Tract 1051, Cuyahoga County, Ohio"
1747,3,2,1,0,0,1,0,0,0,39035105300,2984,1508,1476,748,1889,347,365,383,1010,879,133,214,1835,1393,16150,0.249303461,11969.34847,4.7780000000000005,2.778,1.321,1.321,0.379,-0.621,-0.691,-0.691,-0.836,-0.836,0.051,-0.9490000000000001,-0.272,-0.272,0.613,0.613,"Census Tract 1053, Cuyahoga County, Ohio"
1748,5,2,1,1,0,0,1,1,0,39035105400,3138,1369,1769,920,1828,390,390,530,833,995,146,244,2077,1367,18950,0.407252835,7705.287065,3.688,1.6880000000000002,1.6769999999999998,0.677,-0.687,-1.6869999999999998,0.48200000000000004,-0.518,-0.28800000000000003,-0.28800000000000003,-0.0,-0.0,0.091,-0.909,0.514,0.514,"Census Tract 1054, Cuyahoga County, Ohio"
1749,5,3,0,0,0,0,0,2,0,39035105500,2227,1119,1108,644,1426,157,358,286,677,749,84,73,1526,863,15965,0.165468327,13458.76905,3.282,0.282,2.1590000000000003,2.1590000000000003,0.157,0.157,0.18899999999999997,0.18899999999999997,-1.014,-1.014,0.303,0.303,0.098,-1.902,-0.433,-0.433,"Census Tract 1055, Cuyahoga County, Ohio"
1750,8,6,5,0,2,0,0,0,0,39035105602,2559,1258,1301,608,1665,286,307,301,847,818,104,182,1261,1343,16265,0.675985343,3785.58504,9.259,3.259,2.064,2.064,2.847,-2.153,1.426,1.426,0.111,-1.889,0.486,0.486,-0.278,-0.278,-0.9490000000000001,-0.9490000000000001,"Census Tract 1056.02, Cuyahoga County, Ohio"
1751,9,6,1,0,1,1,1,0,1,39035105700,3838,1971,1867,730,2592,516,456,274,1295,1297,220,296,2600,1578,17546,0.631494405,6077.646882,7.269,1.2690000000000001,1.6680000000000001,0.6679999999999999,0.7240000000000001,-0.276,0.9440000000000001,0.9440000000000001,-0.02,-1.02,0.532,-0.46799999999999997,1.354,1.354,1.258,0.258,"Census Tract 1057, Cuyahoga County, Ohio"
1752,17,8,2,1,1,0,6,1,0,39035105900,3061,1634,1427,516,2069,476,307,209,1103,966,224,252,2565,604,23698,0.596006983,5135.845865,7.471,-0.529,1.755,-4.245,1.5859999999999999,-0.414,3.418,2.418,1.2830000000000001,0.28300000000000003,1.143,1.143,4.684,3.6839999999999997,0.002,0.002,"Census Tract 1059, Cuyahoga County, Ohio"
1753,26,15,4,5,0,3,2,1,0,39035106100,3695,1836,1859,565,2730,400,219,346,1459,1271,158,242,2888,986,28434,0.6238105860000001,5923.27236,11.949000000000002,-3.051,1.073,-0.927,5.975,1.975,3.745,-1.255,1.278,1.278,1.7930000000000001,-1.207,1.7380000000000002,0.738,2.141,2.141,"Census Tract 1061, Cuyahoga County, Ohio"
1754,11,7,4,2,4,0,0,0,0,39035106200,3975,1962,2013,897,2553,525,442,455,1238,1315,282,243,2711,1718,26506,0.40431498299999996,9831.443706999999,9.236,2.2359999999999998,1.5430000000000001,1.5430000000000001,4.503,0.503,2.394,0.39399999999999996,0.096,-3.904,2.262,2.262,3.117,3.117,1.328,1.328,"Census Tract 1062, Cuyahoga County, Ohio"
1755,15,10,5,1,2,0,0,1,0,39035106300,2714,1294,1420,665,1809,240,292,373,847,962,155,85,2209,621,22433,0.46522877700000004,5833.689007,8.456,-1.544,1.849,1.849,5.575,0.575,2.4619999999999997,1.462,0.518,-1.482,1.355,1.355,0.738,-0.262,-0.512,-0.512,"Census Tract 1063, Cuyahoga County, Ohio"
1756,2,1,0,0,0,1,1,0,0,39035106400,1130,579,551,264,765,101,137,127,403,362,39,62,791,490,24342,0.094575724,11948.097829999999,1.405,0.405,0.914,-0.086,1.24,1.24,0.865,0.865,-1.075,-1.075,0.121,-0.879,0.7509999999999999,0.7509999999999999,1.41,1.41,"Census Tract 1064, Cuyahoga County, Ohio"
1757,27,16,4,7,1,2,2,3,0,39035106500,2687,1409,1278,641,1616,430,410,231,821,795,178,252,1953,873,30159,0.500285694,5370.931111,9.249,-6.751,2.93,0.93,7.837000000000001,3.8369999999999997,6.382000000000001,-0.618,1.401,0.401,2.3890000000000002,0.389,1.944,-1.056,1.275,1.275,"Census Tract 1065, Cuyahoga County, Ohio"
1758,24,3,3,6,3,2,10,6,0,39035106600,3571,1669,1902,808,2417,346,377,431,1161,1256,131,215,2560,1246,25038,0.60612981,5891.477277,9.248,6.247999999999999,5.272,-4.728,0.807,-2.193,5.896,-0.10400000000000001,2.381,-0.619,2.966,0.966,9.705,3.705,1.88,1.88,"Census Tract 1066, Cuyahoga County, Ohio"
1759,15,5,2,1,0,3,2,2,0,39035106800,3142,1405,1737,790,1950,402,444,346,841,1109,120,282,1826,1709,17004,0.23136863,13580.06055,6.6979999999999995,1.6980000000000002,2.019,0.019,0.188,-1.8119999999999998,3.633,2.633,0.134,0.134,0.991,-2.009,1.439,-0.561,2.63,2.63,"Census Tract 1068, Cuyahoga County, Ohio"
1760,6,4,2,1,1,0,1,0,0,39035106900,3547,1893,1654,586,2361,600,329,257,1215,1146,349,251,2622,963,27817,0.490267888,7234.820165000001,7.231,3.2310000000000003,0.728,-0.272,0.636,-1.364,-0.753,-1.7530000000000001,-0.121,-1.121,1.229,1.229,1.786,1.786,-1.205,-1.205,"Census Tract 1069, Cuyahoga County, Ohio"
1761,7,1,0,1,0,0,1,3,1,39035107000,1639,844,795,243,1052,344,122,121,540,512,182,162,1441,230,34681,1.105040208,1483.203949,3.408,2.408,1.8430000000000002,0.843,-1.558,-1.558,-0.7090000000000001,-1.709,0.831,0.831,0.494,0.494,0.898,-2.102,-0.313,-1.3130000000000002,"Census Tract 1070, Cuyahoga County, Ohio"
1762,160,86,76,6,14,13,3,12,2,39035107101,4771,3675,1096,5,4722,44,0,5,3652,1070,23,21,2519,2384,26667,1.6778378180000002,2843.540626,91.14200000000001,5.142,5.277,2.2769999999999997,53.998000000000005,-22.002,37.464,31.464000000000002,11.845999999999998,-2.154,14.339,1.339,2.573,-9.427,0.797,-1.203,"Census Tract 1071.01, Cuyahoga County, Ohio"
1763,434,270,146,41,52,37,12,17,9,39035107701,3050,1735,1315,106,2869,75,21,85,1639,1230,75,0,1857,1251,44250,0.7702089409999999,3959.964416,169.408,-100.59200000000001,18.336,6.336,192.648,46.648,122.605,81.605,29.159000000000002,-22.840999999999998,53.68899999999999,16.689,30.498,13.498,23.076999999999998,14.077,"Census Tract 1077.01, Cuyahoga County, Ohio"
1764,121,54,43,19,9,7,9,9,1,39035107802,4108,2296,1812,74,3629,405,18,56,2133,1496,145,260,1809,2521,12491,0.5910146820000001,6950.757948,58.528,4.5280000000000005,7.405,-1.595,32.024,-10.975999999999999,24.38,5.38,9.452,0.452,11.968,4.968,8.592,-0.408,-0.185,-1.185,"Census Tract 1078.02, Cuyahoga County, Ohio"
1765,38,18,3,10,2,3,3,5,1,39035108201,1413,781,632,166,966,281,106,60,553,413,122,159,822,614,19970,0.800546532,1765.0441829999997,9.912,-8.088,5.357,2.3569999999999998,10.202,7.202000000000001,7.48,-2.52,2.676,0.6759999999999999,2.299,-0.701,3.469,-1.531,1.96,0.96,"Census Tract 1082.01, Cuyahoga County, Ohio"
1766,51,28,7,7,4,4,1,5,3,39035108301,1472,820,652,166,1138,168,138,28,612,526,70,98,480,1101,16625,0.5292572560000001,2781.2561539999997,13.889000000000001,-14.110999999999999,5.7860000000000005,4.7860000000000005,16.75,9.75,9.737,2.737,3.3339999999999996,-0.6659999999999999,3.853,-0.147,2.702,-2.298,3.818,0.818,"Census Tract 1083.01, Cuyahoga County, Ohio"
1767,17,12,5,2,1,1,1,1,0,39035108400,1300,626,674,354,764,182,167,187,385,379,74,108,278,1104,15041,0.21551566100000003,6032.044228,7.42,-4.58,2.302,1.3019999999999998,7.188,2.188,4.21,2.21,0.395,-0.605,0.9309999999999999,-0.069,0.20199999999999999,-0.7979999999999999,0.040999999999999995,0.040999999999999995,"Census Tract 1084, Cuyahoga County, Ohio"
1768,29,8,4,8,1,2,7,6,2,39035108701,4603,1883,2720,2020,2386,197,982,1038,869,1517,32,165,220,4525,12402,0.562304126,8185.961634,6.702000000000001,-1.298,5.954,-1.046,1.651,-2.349,10.102,2.102,1.686,0.6859999999999999,2.164,0.16399999999999998,4.207,-1.7930000000000001,0.34600000000000003,-1.6540000000000001,"Census Tract 1087.01, Cuyahoga County, Ohio"
1769,5,0,0,0,1,0,0,0,2,39035109301,1096,606,490,105,808,183,68,37,458,350,80,103,112,1000,11037,0.29454498100000004,3720.9936299999995,3.637,3.637,2.536,2.536,-0.49200000000000005,-0.49200000000000005,-1.4140000000000001,-1.4140000000000001,0.035,-0.965,-0.374,-0.374,-0.23,-0.23,-0.20600000000000002,-2.206,"Census Tract 1093.01, Cuyahoga County, Ohio"
1770,3,2,1,1,1,0,0,1,0,39035109701,2308,700,1608,1134,1167,7,521,613,179,988,0,7,401,1979,7083,0.294893246,7826.561083,1.564,-0.436,3.0839999999999996,3.0839999999999996,0.599,-0.401,3.179,2.1790000000000003,-0.841,-1.841,-0.5920000000000001,-0.5920000000000001,-0.986,-1.986,-0.514,-0.514,"Census Tract 1097.01, Cuyahoga County, Ohio"
1771,1,0,0,0,0,0,1,0,0,39035109801,2217,857,1360,1001,1132,84,559,442,248,884,50,34,44,2190,9574,0.28801638,7697.47887,1.886,1.886,1.9680000000000002,0.968,-1.4,-1.4,1.052,1.052,-0.7190000000000001,-0.7190000000000001,-1.2229999999999999,-1.2229999999999999,-0.273,-0.273,-0.583,-0.583,"Census Tract 1098.01, Cuyahoga County, Ohio"
1772,1,1,0,0,0,0,0,0,0,39035110501,725,374,351,152,450,123,111,41,204,246,59,64,308,417,13090,0.466843842,1552.981821,2.013,1.013,2.144,2.144,0.027999999999999997,0.027999999999999997,-0.684,-0.684,-0.22,-0.22,-1.3980000000000001,-1.3980000000000001,-1.242,-1.242,-1.031,-1.031,"Census Tract 1105.01, Cuyahoga County, Ohio"
1773,2,1,0,0,0,0,0,0,0,39035110801,987,467,520,261,612,114,161,100,262,350,44,70,496,550,16132,0.285350731,3458.901252,1.6380000000000001,0.638,1.732,1.732,0.033,0.033,-0.192,-0.192,-0.22899999999999998,-0.22899999999999998,-0.705,-0.705,-0.746,-0.746,-0.542,-0.542,"Census Tract 1108.01, Cuyahoga County, Ohio"
1774,2,1,0,2,1,0,0,0,0,39035110901,2948,1506,1442,759,1917,272,407,352,966,951,133,139,1624,1360,20000,1.285820575,2292.699354,5.0169999999999995,4.0169999999999995,2.2359999999999998,2.2359999999999998,-0.752,-0.752,-1.2790000000000001,-3.279,-0.16399999999999998,-1.1640000000000001,-0.528,-0.528,0.073,0.073,-0.855,-0.855,"Census Tract 1109.01, Cuyahoga County, Ohio"
1775,11,7,3,2,1,0,1,1,0,39035111202,1132,584,548,190,787,155,51,139,448,339,85,70,357,792,14946,1.1177201890000001,1012.7758369999999,6.082000000000001,-0.9179999999999999,2.541,1.541,4.196000000000001,1.196,1.4969999999999999,-0.503,0.579,-0.42100000000000004,-0.14300000000000002,-0.14300000000000002,0.4,-0.6,-1.1,-1.1,"Census Tract 1112.02, Cuyahoga County, Ohio"
1776,3,0,0,0,2,0,0,1,0,39035111401,1279,540,739,444,704,131,207,237,295,409,38,93,0,1279,18328,0.26192514100000003,4883.074595,2.2319999999999998,2.2319999999999998,2.864,2.864,0.693,0.693,0.642,0.642,-0.10800000000000001,-2.108,-0.24100000000000002,-0.24100000000000002,0.369,-0.631,0.579,0.579,"Census Tract 1114.01, Cuyahoga County, Ohio"
1777,1,1,0,0,0,0,0,0,0,39035111500,980,441,539,232,597,151,89,143,273,324,79,72,310,723,15871,0.123848445,7912.89709,2.123,1.123,1.446,1.446,0.28800000000000003,0.28800000000000003,-0.603,-0.603,-0.848,-0.848,-0.396,-0.396,-0.368,-0.368,-0.325,-0.325,"Census Tract 1115, Cuyahoga County, Ohio"
1778,4,3,0,1,1,0,0,0,0,39035111600,864,441,423,243,543,78,110,133,305,238,26,52,166,698,13611,0.127453095,6778.964462999999,2.645,-0.355,2.194,2.194,2.155,2.155,0.06,-0.94,-0.536,-1.536,-0.281,-0.281,0.063,0.063,-0.611,-0.611,"Census Tract 1116, Cuyahoga County, Ohio"
1779,1,1,0,0,0,0,0,0,0,39035111700,1172,501,671,238,754,180,110,128,308,446,83,97,135,1054,14068,0.153367886,7641.756265000001,2.508,1.508,1.58,1.58,-0.365,-0.365,-0.6990000000000001,-0.6990000000000001,-0.7709999999999999,-0.7709999999999999,-0.52,-0.52,-0.56,-0.56,-0.7509999999999999,-0.7509999999999999,"Census Tract 1117, Cuyahoga County, Ohio"
1780,2,2,0,0,0,0,0,0,0,39035112100,1528,791,737,339,685,504,215,124,382,303,194,310,117,1435,10728,0.229548544,6656.544069,2.186,0.18600000000000003,2.161,2.161,0.59,0.59,0.526,0.526,-0.7120000000000001,-0.7120000000000001,-0.948,-0.948,-1.112,-1.112,-0.43700000000000006,-0.43700000000000006,"Census Tract 1121, Cuyahoga County, Ohio"
1781,1,0,0,0,0,0,1,0,0,39035112200,1154,538,616,301,696,157,163,138,297,399,78,79,31,1137,14147,0.192862275,5983.544465,2.488,2.488,1.6480000000000001,0.648,-0.789,-0.789,-0.505,-0.505,-0.449,-0.449,-0.77,-0.77,0.095,0.095,-0.494,-0.494,"Census Tract 1122, Cuyahoga County, Ohio"
1782,3,1,0,0,1,0,1,1,0,39035112301,1434,830,604,225,1129,80,147,78,645,484,38,42,195,1263,10179,0.259347137,5529.268683,5.013999999999999,4.013999999999999,3.072,2.072,-0.23,-0.23,-0.9329999999999999,-0.9329999999999999,-0.39899999999999997,-1.399,-0.696,-0.696,0.7609999999999999,-0.239,-0.517,-0.517,"Census Tract 1123.01, Cuyahoga County, Ohio"
1783,6,3,0,1,0,1,0,1,0,39035112800,962,480,482,204,582,176,151,53,239,343,90,86,15,991,14679,0.21352221600000001,4505.385993,2.346,-0.654,2.451,2.451,1.165,1.165,0.708,-0.292,0.017,0.017,-0.836,-1.8359999999999999,-0.617,-1.617,0.049,0.049,"Census Tract 1128, Cuyahoga County, Ohio"
